month,response_time_hours,resolution_time_hours,csat_score,ticket_volume,sla_breach_rate
2021-01,7.568961205659163,35.52330415301188,3.3075686300527507,226,0.36283185840707965
2021-02,8.752339832853671,36.033755904082,3.0587279562457463,255,0.3686274509803922
2021-03,9.650272787089335,41.060606887226236,2.8194894115100486,241,0.4730290456431535
2021-04,9.309838552204695,39.17706516247721,2.8084468619678438,253,0.4189723320158103
2021-05,9.56033106860573,39.92114250644759,2.66277881915076,276,0.4782608695652174
2021-06,10.141702726121883,42.205743893954676,2.4358451348296053,296,0.5405405405405406
2021-07,9.829150487410214,42.14276384569721,2.3325075512190065,278,0.5539568345323741
2021-08,9.400722245597942,45.144129958563624,2.634867209138068,265,0.569811320754717
2021-09,10.178955064181858,48.252721067812224,2.7753686942084297,301,0.6445182724252492
2021-10,9.355840758798612,47.497097850282266,2.46834134223354,296,0.6047297297297297
2021-11,9.780924469259999,50.13494025959005,2.582353519558831,349,0.6131805157593123
2021-12,10.866967772885923,49.94280036010838,2.3514254566873913,376,0.6835106382978723
2022-01,11.492911410711846,53.900618433428725,2.246986174018421,355,0.7154929577464789
2022-02,11.495420917635771,55.08019395601221,2.4599966027107962,353,0.7308781869688386
2022-03,11.36921412434138,55.3059349250977,2.472224032403172,394,0.7208121827411168
2022-04,12.437511889659037,54.827146910134154,2.248834488245981,428,0.75
2022-05,12.411124053661098,54.02767519140216,2.4358637308457953,371,0.7304582210242587
2022-06,12.661584811783698,58.232295664281764,1.945808181886411,419,0.7971360381861575
2022-07,11.502239315279287,61.50174018350455,2.0230247564470263,423,0.7730496453900709
2022-08,14.48861930809314,61.00593434212365,2.0088580899203152,432,0.8032407407407407
2022-09,13.275534331605055,65.75501574378411,2.0842480849318648,435,0.8528735632183908
2022-10,14.288339906210966,67.69977562736129,1.9011444496606522,472,0.847457627118644
2022-11,12.986178517183601,67.19814611726959,1.9853598339203768,445,0.8629213483146068
2022-12,13.041438674633495,69.11937474408512,1.94769536836308,530,0.8358490566037736
